"X","Y","OBJECTID","PID","SSL","PMPROPERTYID","UBID","PROPERTYNAME","PMPARENTPROPERTYID","PARENTPROPERTYNAME","ADDRESSOFRECORD","OWNEROFRECORD","WARD","REPORTEDADDRESS","CITY","STATE","POSTALCODE","YEARBUILT","PRIMARYPROPERTYTYPE_EPACALC","TAXRECORDFLOORAREA","REPORTEDBUILDINGGROSSFLOORAREA","BEPS","BEPS_METRIC_TYPE","BEPS_PROPERTY_GROUP","PROPERTY_BEPS_METRIC_YEAR","PROPERTY_BEPS_METRIC","MEETS_BEPS","DISTANCE_FROM_BEPS_ESTIMATED","PERFORMANCE_REQUIREMENT_EST","LATITUDE","LONGITUDE","XCOORD","YCOORD","MAR_ID","GIS_ID","GLOBALID","LASTUPDATE"
-76.9556287137179,38.9254664413038,106895,DC43270002,4327    0002,,,,,,3400 COMMODORE JOSHUA BARNEY DRIVE NE,DISTRICT OF COLUMBIA,5,,WASHINGTON,DC,,,,144120,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.92545865,-76.95562644,403847.76021213,139732.35740867,306501,,{DF9A5348-F35E-29BB-E053-792F520AEC22},
-77.0254062969061,38.9014507903723,106824,DC03747078,0374    7078,,,,,,950 NEW YORK AVE NW,CCDC HOTEL LLC,2,,WASHINGTON,DC,,,,319800,,,,,,,Under Review,,,38.901443,-77.025404,397796.40346564,137065.79268567,309621,,{DF9A5348-F317-29BB-E053-792F520AEC22},
-77.0270962887222,38.8812517792533,106831,DC04730952,0473    0952,,,,,,1120 MAINE AVE SW,DISTRICT OF COLUMBIA,6,,WASHINGTON,DC,,,,13816,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.881244,-77.027094,397649.14381723,134823.5874609,314722,,{DF9A5348-F31E-29BB-E053-792F520AEC22},
-77.0402762962125,38.9074457863521,106816,DC01585900,0158    5900,,,,,,1745 N ST NW,1745N CONDOMINUM,2,,WASHINGTON,DC,,,,59410,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.907438,-77.040274,396506.84197225,137731.75020468,218470,,{DF9A5348-F30F-29BB-E053-792F520AEC22},
-76.9978791407364,38.9231225019924,106878,DC36300813,3630    0813,,,,,,611 EDGEWOOD ST NE,EDGEWOOD IV LP,5,,WASHINGTON,DC,,,,383900,,,,,,,Under Review,,,38.92311471,-76.99787686,400184.10969202,139471.22710491,289572,,{DF9A5348-F34D-29BB-E053-792F520AEC22},
-76.9521772730417,38.9013277925222,106923,DCPAR01700029,PAR 01700029,,,,,,650 ANACOSTIA AVE NE ,DISTRICT OF COLUMIBA,7,,WASHINGTON,DC,,,,74826,,,,,,,Under Review,,,38.90132,-76.952175,404148.44837482,137052.91874737,294493,,{DF9A5348-F37A-29BB-E053-792F520AEC22},
-77.008246291443,38.9050807916527,106845,DC06730851,0673    0851,,,,,,1133 N CAPITOL ST NE,DISTRICT OF COLUMBIA HOUSING AUTHORITY,6,,WASHINGTON,DC,,,,157896,,,,,,,Under Review,,,38.905073,-77.008244,399284.9344361,137468.4776959,149791,,{DF9A5348-F32C-29BB-E053-792F520AEC22},
-76.9969146596245,38.9113025849134,106874,DC35940004,3594    0004,,,,,,501 NEW YORK AVE NE,VASUDAV INC,5,,WASHINGTON,DC,,,,160000,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91129479,-76.99691238,400267.78968422,138159.11952012,288413,,{DF9A5348-F349-29BB-E053-792F520AEC22},
-76.9448237481077,38.8910295898385,106900,DC50840315,5084    0315,,,,,,100 41ST STREET NE,DISTRICT OF COLUMBIA,7,,WASHINGTON,DC,,,,107130,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.8910218,-76.94482148,404787.00019992,135910.09684491,294468,,{DF9A5348-F363-29BB-E053-792F520AEC22},
-77.0262034388962,38.9777929054475,106868,DC29645709,2964    5709,,,,,,7215 GEORGIA AVE NW,GEORGIA ROW CONDOMINIUM,4,,WASHINGTON,DC,,,,73037,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.9777851,-77.02620114,397729.69021112,145540.45971629,314102,,{DF9A5348-F343-29BB-E053-792F520AEC22},
-76.997498434213,38.911029438902,106875,DC35940800,3594    0800,,,,,,411 NEW YORK AVE NE,411 NEW YORK AVE HOLDINGS LLC,5,,WASHINGTON,DC,,,,50000,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.91102165,-76.99749615,400217.16006784,138128.79717891,288113,,{DF9A5348-F34A-29BB-E053-792F520AEC22},
-76.9254210143221,38.8814249733718,106904,DC52980031,5298    0031,,,,,,5317 E ST SE,ELSINORE APARTMENTS LLC,7,,WASHINGTON,DC,,,,66663,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.88141719,-76.92541876,406471.1495785,134845.10742716,298808,,{DF9A5348-F367-29BB-E053-792F520AEC22},
-77.0652032926421,38.9462334231465,106859,DC19650004,1965    0004,,,,,,4340 CONNECTICUT AVENUE NW,DISTRICT OF COLUMBIA,3,,WASHINGTON,DC,,,,155859,,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.94622563,-77.06520099,394347.87965094,142038.7572149,223153,,{DF9A5348-F33A-29BB-E053-792F520AEC22},
-77.0074388512443,38.9504505809015,106886,DC36890008,3689    0008,,,,,,4900 FORT TOTTEN DRIVE NE,NORTHWOOD GARDEN APARTMENTS,5,,WASHINGTON,DC,,,,9664,,,,,,,Under Review,,,38.95044278,-77.00743656,399355.38019996,142504.90668763,116901,,{DF9A5348-F355-29BB-E053-792F520AEC22},
-77.0263267497586,38.9002324852211,106823,DC03740046,0374    0046,,,,,,800 10TH STREET NW,CCDC RETAIL LLC (IMPS ONLY),2,,WASHINGTON,DC,,,,624086,,,,,,,Under Review,,,38.9002247,-77.02632446,397716.52182739,136930.57422659,307567,,{DF9A5348-F316-29BB-E053-792F520AEC22},
-77.0175599864569,38.8954433399814,108583,PM6507479,0489E   0800,6507479,,DC Courts of Appeals,,,451 INDIANA AVENUE NW,DISTRICT OF COLUMBIA,2,430 E Street,WASHINGTON,DC,20001,1820,Courthouse,174467,140000,,,,,,Does Not Meet BEPS: Incomplete/Missing Report,,,38.89543555,-77.0175577,398476.87980301,136398.75762721,308548,,{DF9A5348-F9F6-29BB-E053-792F520AEC22},2022/05/18 00:00:00+00
